particle_id,layer_id,x,y
0.0,0,226.25974000576673,70.0
0.0,1,244.13685503002839,128.322
0.0,2,261.4061310271852,186.644
0.0,3,278.07269836289566,244.966
0.0,4,294.1414537400914,303.288
0.0,5,309.61706812004684,361.61
0.0,6,324.50399415326734,419.932
0.0,7,338.8064731499056,478.254
0.0,8,352.5285416170925,536.576
0.0,9,365.6740373883192,594.898
0.0,10,378.24660536801923,653.22
0.0,11,390.24970291263986,711.542
0.0,12,401.68660486781374,769.864
1.0,3,840.7753603308088,244.966
1.0,4,786.2580394371907,303.288
1.0,5,736.0409124677728,361.61
1.0,6,689.6994910311673,419.932
1.0,7,646.8903592610934,478.254
1.0,8,607.3315031926026,536.576
1.0,9,570.7884568510094,594.898
1.0,10,537.0642924106533,653.22
1.0,11,505.9922281591168,711.542
1.0,12,477.4300662193049,769.864
2.0,0,622.4441959019553,70.0
2.0,1,550.7292341229261,128.322
2.0,2,496.0458329961349,186.644
2.0,3,453.1562388001782,244.966
2.0,4,419.3911087206181,303.288
2.0,5,393.19768514684995,361.61
2.0,6,373.6087041537872,419.932
2.0,7,360.00702030364505,478.254
2.0,8,352.0091073195824,536.576
2.0,9,349.4047820418329,594.898
2.0,10,352.127896365559,653.22
2.0,11,360.247641848678,711.542
2.0,12,373.9776512004272,769.864
3.0,0,467.14746171454306,70.0
3.0,1,474.31757218317813,128.322
3.0,2,479.9231915265674,186.644
3.0,3,483.9762230986024,244.966
3.0,4,486.48519820985246,303.288
3.0,5,487.4553667290452,361.61
3.0,6,486.8887522856048,419.932
3.0,7,484.78417343643736,478.254
3.0,8,481.1372313158048,536.576
3.0,9,475.94026346582103,594.898
3.0,10,469.182262710376,653.22
3.0,11,460.84875904979884,711.542
3.0,12,450.9216615763071,769.864
